customer_id,customer_code,customer_name,region_id,city,channel,tier,created_at
69,C0000069,Customer 69,1,Jaipur,E-Commerce,Bronze,2022-08-29T00:00:00
70,C0000070,Customer 70,2,Kochi,General Trade,Bronze,2022-01-04T00:00:00
71,C0000071,Customer 71,5,Nagpur,General Trade,Gold,2024-02-06T00:00:00
72,C0000072,Customer 72,4,Ahmedabad,Modern Trade,Silver,2022-12-04T00:00:00
73,C0000073,Customer 73,1,Jaipur,General Trade,Bronze,2021-10-06T00:00:00
74,C0000074,Customer 74,3,Guwahati,General Trade,Bronze,2022-03-11T00:00:00
75,C0000075,Customer 75,4,Pune,General Trade,Bronze,2024-09-23T00:00:00
76,C0000076,Customer 76,3,Kolkata,E-Commerce,Silver,2022-02-04T00:00:00
77,C0000077,Customer 77,3,Guwahati,General Trade,Silver,2022-01-18T00:00:00
78,C0000078,Customer 78,1,Noida,General Trade,Bronze,2024-11-16T00:00:00
79,C0000079,Customer 79,1,Jaipur,Institutional,Bronze,2021-12-04T00:00:00
80,C0000080,Customer 80,3,Patna,E-Commerce,Gold,2022-08-22T00:00:00
81,C0000081,Customer 81,4,Mumbai,General Trade,Bronze,2021-08-31T00:00:00
82,C0000082,Customer 82,2,Kochi,Modern Trade,Silver,2024-03-20T00:00:00
83,C0000083,Customer 83,4,Ahmedabad,Modern Trade,Bronze,2024-10-08T00:00:00
84,C0000084,Customer 84,2,Hyderabad,General Trade,Silver,2024-06-26T00:00:00
85,C0000085,Customer 85,5,Nagpur,E-Commerce,Bronze,2021-03-17T00:00:00
86,C0000086,Customer 86,4,Ahmedabad,E-Commerce,Bronze,2022-04-04T00:00:00
87,C0000087,Customer 87,3,Kolkata,E-Commerce,Silver,2024-02-14T00:00:00
88,C0000088,Customer 88,2,Kochi,General Trade,Bronze,2024-03-17T00:00:00
89,C0000089,Customer 89,3,Guwahati,General Trade,Bronze,2023-12-29T00:00:00
90,C0000090,Customer 90,5,Indore,General Trade,Bronze,2024-08-08T00:00:00
91,C0000091,Customer 91,3,Kolkata,Institutional,Bronze,2024-01-23T00:00:00
92,C0000092,Customer 92,2,Bengaluru,General Trade,Silver,2024-01-30T00:00:00
93,C0000093,Customer 93,4,Surat,Modern Trade,Silver,2021-06-26T00:00:00
94,C0000094,Customer 94,3,Patna,Modern Trade,Bronze,2023-01-25T00:00:00
95,C0000095,Customer 95,5,Nagpur,E-Commerce,Silver,2023-05-24T00:00:00
96,C0000096,Customer 96,1,Noida,Institutional,Bronze,2024-03-26T00:00:00
97,C0000097,Customer 97,1,Delhi,Institutional,Bronze,2022-01-06T00:00:00
98,C0000098,Customer 98,1,Noida,Modern Trade,Bronze,2023-10-14T00:00:00
99,C0000099,Customer 99,5,Indore,Institutional,Bronze,2021-10-10T00:00:00
100,C0000100,Customer 100,5,Bhopal,Modern Trade,Bronze,2024-12-11T00:00:00
101,C0000101,Customer 101,3,Kolkata,Institutional,Bronze,2024-10-08T00:00:00
102,C0000102,Customer 102,1,Delhi,Modern Trade,Bronze,2022-06-13T00:00:00
103,C0000103,Customer 103,2,Bengaluru,E-Commerce,Bronze,2022-12-12T00:00:00
104,C0000104,Customer 104,1,Jaipur,General Trade,Bronze,2021-05-21T00:00:00
105,C0000105,Customer 105,2,Kochi,E-Commerce,Silver,2024-08-06T00:00:00
106,C0000106,Customer 106,2,Bengaluru,E-Commerce,Silver,2024-03-27T00:00:00
107,C0000107,Customer 107,4,Surat,E-Commerce,Bronze,2025-01-09T00:00:00
108,C0000108,Customer 108,3,Guwahati,Institutional,Bronze,2022-03-28T00:00:00
109,C0000109,Customer 109,5,Indore,General Trade,Bronze,2022-05-21T00:00:00
110,C0000110,Customer 110,4,Pune,Modern Trade,Bronze,2023-09-15T00:00:00
111,C0000111,Customer 111,1,Gurgaon,Institutional,Silver,2021-02-06T00:00:00
112,C0000112,Customer 112,3,Patna,Institutional,Bronze,2023-12-04T00:00:00
113,C0000113,Customer 113,3,Kolkata,E-Commerce,Gold,2023-01-14T00:00:00
114,C0000114,Customer 114,4,Ahmedabad,Modern Trade,Bronze,2022-06-07T00:00:00
115,C0000115,Customer 115,1,Gurgaon,Institutional,Silver,2021-02-16T00:00:00
116,C0000116,Customer 116,2,Kochi,Modern Trade,Gold,2024-11-18T00:00:00
117,C0000117,Customer 117,4,Ahmedabad,Modern Trade,Silver,2024-01-30T00:00:00
118,C0000118,Customer 118,5,Nagpur,E-Commerce,Bronze,2024-07-23T00:00:00
119,C0000119,Customer 119,1,Gurgaon,E-Commerce,Silver,2024-08-21T00:00:00
120,C0000120,Customer 120,1,Noida,E-Commerce,Bronze,2023-03-08T00:00:00
121,C0000121,Customer 121,1,Jaipur,Institutional,Silver,2022-01-04T00:00:00
122,C0000122,Customer 122,2,Bengaluru,Modern Trade,Bronze,2021-02-10T00:00:00
123,C0000123,Customer 123,3,Kolkata,Modern Trade,Bronze,2023-12-02T00:00:00
124,C0000124,Customer 124,5,Indore,Modern Trade,Bronze,2024-01-21T00:00:00
125,C0000125,Customer 125,3,Patna,General Trade,Bronze,2022-12-16T00:00:00
126,C0000126,Customer 126,3,Guwahati,General Trade,Silver,2023-08-19T00:00:00
127,C0000127,Customer 127,2,Chennai,General Trade,Bronze,2024-08-25T00:00:00
128,C0000128,Customer 128,1,Delhi,General Trade,Bronze,2022-06-09T00:00:00
129,C0000129,Customer 129,3,Patna,General Trade,Bronze,2021-07-31T00:00:00
130,C0000130,Customer 130,1,Gurgaon,General Trade,Bronze,2024-09-16T00:00:00
131,C0000131,Customer 131,1,Delhi,Institutional,Silver,2022-05-14T00:00:00
132,C0000132,Customer 132,5,Nagpur,Modern Trade,Gold,2021-11-14T00:00:00
133,C0000133,Customer 133,4,Mumbai,General Trade,Gold,2021-06-30T00:00:00
134,C0000134,Customer 134,3,Patna,General Trade,Gold,2025-01-24T00:00:00
135,C0000135,Customer 135,1,Gurgaon,General Trade,Bronze,2021-07-18T00:00:00
136,C0000136,Customer 136,3,Guwahati,E-Commerce,Bronze,2023-05-21T00:00:00
137,C0000137,Customer 137,5,Nagpur,General Trade,Bronze,2023-08-05T00:00:00
138,C0000138,Customer 138,4,Mumbai,Modern Trade,Bronze,2023-08-16T00:00:00
139,C0000139,Customer 139,2,Chennai,Institutional,Bronze,2023-12-06T00:00:00
140,C0000140,Customer 140,4,Mumbai,E-Commerce,Bronze,2022-06-04T00:00:00
141,C0000141,Customer 141,4,Ahmedabad,General Trade,Bronze,2021-09-12T00:00:00
142,C0000142,Customer 142,2,Kochi,Institutional,Silver,2022-01-27T00:00:00
143,C0000143,Customer 143,3,Patna,Institutional,Bronze,2022-01-05T00:00:00
144,C0000144,Customer 144,5,Nagpur,E-Commerce,Bronze,2022-05-11T00:00:00
145,C0000145,Customer 145,4,Mumbai,E-Commerce,Gold,2024-07-08T00:00:00
146,C0000146,Customer 146,4,Ahmedabad,Institutional,Silver,2024-02-22T00:00:00
147,C0000147,Customer 147,1,Noida,Institutional,Bronze,2021-11-21T00:00:00
148,C0000148,Customer 148,1,Gurgaon,E-Commerce,Silver,2024-09-26T00:00:00
149,C0000149,Customer 149,3,Patna,Institutional,Silver,2023-05-04T00:00:00
150,C0000150,Customer 150,4,Surat,Modern Trade,Bronze,2023-04-12T00:00:00
151,C0000151,Customer 151,4,Mumbai,Modern Trade,Bronze,2023-07-05T00:00:00
152,C0000152,Customer 152,2,Hyderabad,Institutional,Bronze,2021-07-22T00:00:00
153,C0000153,Customer 153,3,Patna,E-Commerce,Bronze,2023-10-10T00:00:00
154,C0000154,Customer 154,4,Ahmedabad,E-Commerce,Bronze,2021-04-22T00:00:00
155,C0000155,Customer 155,2,Kochi,General Trade,Gold,2022-09-06T00:00:00
156,C0000156,Customer 156,4,Mumbai,Institutional,Bronze,2021-11-30T00:00:00
157,C0000157,Customer 157,4,Mumbai,Institutional,Silver,2024-01-20T00:00:00
158,C0000158,Customer 158,1,Delhi,Institutional,Bronze,2024-05-29T00:00:00
159,C0000159,Customer 159,5,Bhopal,General Trade,Bronze,2024-02-15T00:00:00
160,C0000160,Customer 160,3,Patna,E-Commerce,Bronze,2023-01-19T00:00:00
161,C0000161,Customer 161,2,Hyderabad,E-Commerce,Bronze,2024-10-23T00:00:00
162,C0000162,Customer 162,3,Kolkata,Institutional,Bronze,2023-03-04T00:00:00
163,C0000163,Customer 163,2,Bengaluru,Institutional,Gold,2024-01-12T00:00:00
164,C0000164,Customer 164,4,Surat,Modern Trade,Bronze,2023-02-13T00:00:00
165,C0000165,Customer 165,2,Kochi,E-Commerce,Bronze,2024-10-14T00:00:00
166,C0000166,Customer 166,2,Kochi,E-Commerce,Bronze,2022-12-04T00:00:00
167,C0000167,Customer 167,3,Guwahati,E-Commerce,Silver,2022-11-07T00:00:00
168,C0000168,Customer 168,3,Patna,Modern Trade,Gold,2021-11-22T00:00:00
169,C0000169,Customer 169,1,Gurgaon,E-Commerce,Bronze,2021-01-01T00:00:00
170,C0000170,Customer 170,2,Kochi,Modern Trade,Bronze,2024-02-28T00:00:00
171,C0000171,Customer 171,1,Jaipur,E-Commerce,Bronze,2021-02-18T00:00:00
172,C0000172,Customer 172,2,Bengaluru,Institutional,Bronze,2021-08-20T00:00:00
173,C0000173,Customer 173,3,Patna,Institutional,Bronze,2021-09-09T00:00:00
174,C0000174,Customer 174,4,Pune,General Trade,Bronze,2022-05-05T00:00:00
175,C0000175,Customer 175,4,Surat,Modern Trade,Bronze,2022-09-11T00:00:00
176,C0000176,Customer 176,5,Nagpur,General Trade,Bronze,2021-12-13T00:00:00
177,C0000177,Customer 177,5,Indore,Institutional,Bronze,2023-01-21T00:00:00
178,C0000178,Customer 178,4,Ahmedabad,Modern Trade,Bronze,2024-06-28T00:00:00
179,C0000179,Customer 179,5,Indore,Institutional,Silver,2021-12-02T00:00:00
180,C0000180,Customer 180,5,Bhopal,Modern Trade,Silver,2022-01-11T00:00:00
181,C0000181,Customer 181,4,Surat,E-Commerce,Bronze,2023-05-24T00:00:00
182,C0000182,Customer 182,5,Indore,General Trade,Bronze,2025-01-25T00:00:00
183,C0000183,Customer 183,1,Delhi,Modern Trade,Bronze,2023-08-17T00:00:00
184,C0000184,Customer 184,3,Patna,Modern Trade,Silver,2024-10-31T00:00:00
185,C0000185,Customer 185,5,Bhopal,Modern Trade,Bronze,2023-03-04T00:00:00
186,C0000186,Customer 186,1,Jaipur,General Trade,Bronze,2022-03-31T00:00:00
187,C0000187,Customer 187,5,Bhopal,General Trade,Bronze,2025-01-18T00:00:00
188,C0000188,Customer 188,4,Surat,Institutional,Bronze,2024-09-21T00:00:00
189,C0000189,Customer 189,3,Kolkata,Institutional,Silver,2022-02-08T00:00:00
190,C0000190,Customer 190,1,Jaipur,E-Commerce,Bronze,2023-04-01T00:00:00
191,C0000191,Customer 191,2,Hyderabad,General Trade,Bronze,2023-01-29T00:00:00
192,C0000192,Customer 192,4,Pune,Modern Trade,Bronze,2022-09-05T00:00:00
193,C0000193,Customer 193,4,Pune,Institutional,Silver,2022-05-16T00:00:00
194,C0000194,Customer 194,2,Kochi,E-Commerce,Silver,2021-07-10T00:00:00
195,C0000195,Customer 195,4,Surat,E-Commerce,Bronze,2024-06-29T00:00:00
196,C0000196,Customer 196,5,Nagpur,General Trade,Bronze,2021-12-08T00:00:00
197,C0000197,Customer 197,1,Jaipur,Institutional,Gold,2023-04-11T00:00:00
198,C0000198,Customer 198,2,Chennai,Institutional,Silver,2022-04-20T00:00:00
199,C0000199,Customer 199,4,Ahmedabad,Modern Trade,Silver,2023-09-11T00:00:00
200,C0000200,Customer 200,2,Hyderabad,E-Commerce,Gold,2021-04-08T00:00:00
201,C0000201,Customer 201,5,Nagpur,Institutional,Gold,2023-05-23T00:00:00
202,C0000202,Customer 202,1,Delhi,General Trade,Silver,2024-06-27T00:00:00
203,C0000203,Customer 203,2,Hyderabad,E-Commerce,Bronze,2023-06-29T00:00:00
204,C0000204,Customer 204,3,Kolkata,E-Commerce,Gold,2022-10-27T00:00:00
205,C0000205,Customer 205,5,Bhopal,Modern Trade,Bronze,2024-04-19T00:00:00
206,C0000206,Customer 206,1,Gurgaon,General Trade,Silver,2021-01-17T00:00:00
207,C0000207,Customer 207,1,Delhi,E-Commerce,Bronze,2024-09-17T00:00:00
208,C0000208,Customer 208,2,Hyderabad,E-Commerce,Silver,2021-08-14T00:00:00
209,C0000209,Customer 209,3,Guwahati,Institutional,Bronze,2023-09-17T00:00:00
210,C0000210,Customer 210,2,Chennai,General Trade,Bronze,2023-06-19T00:00:00
211,C0000211,Customer 211,1,Jaipur,Institutional,Silver,2023-01-12T00:00:00
212,C0000212,Customer 212,3,Patna,Institutional,Silver,2022-12-17T00:00:00
213,C0000213,Customer 213,2,Chennai,E-Commerce,Gold,2021-12-03T00:00:00
214,C0000214,Customer 214,3,Kolkata,General Trade,Bronze,2022-06-13T00:00:00
215,C0000215,Customer 215,4,Surat,Modern Trade,Bronze,2021-01-28T00:00:00
216,C0000216,Customer 216,4,Mumbai,E-Commerce,Bronze,2023-08-25T00:00:00
217,C0000217,Customer 217,4,Mumbai,E-Commerce,Bronze,2024-03-10T00:00:00
218,C0000218,Customer 218,1,Delhi,General Trade,Silver,2023-12-04T00:00:00
219,C0000219,Customer 219,2,Bengaluru,Institutional,Bronze,2022-12-14T00:00:00
220,C0000220,Customer 220,4,Mumbai,E-Commerce,Gold,2022-01-04T00:00:00
221,C0000221,Customer 221,5,Nagpur,Institutional,Bronze,2021-12-02T00:00:00
222,C0000222,Customer 222,2,Bengaluru,General Trade,Silver,2022-09-13T00:00:00
223,C0000223,Customer 223,3,Guwahati,General Trade,Bronze,2024-05-21T00:00:00
224,C0000224,Customer 224,5,Nagpur,Modern Trade,Bronze,2021-10-30T00:00:00
225,C0000225,Customer 225,1,Jaipur,E-Commerce,Bronze,2021-01-27T00:00:00
226,C0000226,Customer 226,3,Kolkata,E-Commerce,Gold,2024-11-28T00:00:00
227,C0000227,Customer 227,4,Pune,Institutional,Bronze,2024-02-19T00:00:00
228,C0000228,Customer 228,5,Bhopal,General Trade,Bronze,2024-09-20T00:00:00
229,C0000229,Customer 229,1,Jaipur,General Trade,Gold,2023-04-06T00:00:00
230,C0000230,Customer 230,3,Kolkata,General Trade,Bronze,2024-06-28T00:00:00
231,C0000231,Customer 231,2,Bengaluru,Institutional,Bronze,2023-07-12T00:00:00
232,C0000232,Customer 232,5,Indore,E-Commerce,Silver,2023-05-08T00:00:00
233,C0000233,Customer 233,5,Indore,E-Commerce,Gold,2024-01-15T00:00:00
234,C0000234,Customer 234,2,Bengaluru,E-Commerce,Bronze,2023-12-31T00:00:00
235,C0000235,Customer 235,5,Bhopal,E-Commerce,Bronze,2022-12-10T00:00:00
236,C0000236,Customer 236,2,Hyderabad,E-Commerce,Bronze,2022-04-14T00:00:00
237,C0000237,Customer 237,4,Mumbai,General Trade,Silver,2024-01-05T00:00:00
238,C0000238,Customer 238,4,Ahmedabad,Institutional,Silver,2021-09-20T00:00:00
239,C0000239,Customer 239,1,Gurgaon,E-Commerce,Bronze,2022-11-27T00:00:00
240,C0000240,Customer 240,3,Patna,E-Commerce,Silver,2024-01-07T00:00:00
241,C0000241,Customer 241,5,Bhopal,Institutional,Silver,2024-07-13T00:00:00
242,C0000242,Customer 242,5,Nagpur,General Trade,Silver,2024-07-01T00:00:00
243,C0000243,Customer 243,3,Guwahati,E-Commerce,Bronze,2023-07-17T00:00:00
244,C0000244,Customer 244,3,Patna,General Trade,Bronze,2022-01-22T00:00:00
245,C0000245,Customer 245,4,Surat,E-Commerce,Silver,2025-01-20T00:00:00
246,C0000246,Customer 246,4,Ahmedabad,Modern Trade,Bronze,2021-05-13T00:00:00
247,C0000247,Customer 247,3,Kolkata,Institutional,Gold,2022-05-25T00:00:00
248,C0000248,Customer 248,5,Nagpur,Modern Trade,Bronze,2022-12-14T00:00:00
249,C0000249,Customer 249,2,Kochi,General Trade,Silver,2022-03-04T00:00:00
250,C0000250,Customer 250,2,Bengaluru,General Trade,Bronze,2024-06-22T00:00:00
251,C0000251,Customer 251,4,Pune,Modern Trade,Bronze,2024-06-18T00:00:00
252,C0000252,Customer 252,5,Indore,Institutional,Bronze,2024-11-30T00:00:00
253,C0000253,Customer 253,4,Mumbai,General Trade,Bronze,2021-06-23T00:00:00
254,C0000254,Customer 254,2,Chennai,E-Commerce,Silver,2023-01-04T00:00:00
255,C0000255,Customer 255,4,Surat,Modern Trade,Bronze,2021-08-18T00:00:00
256,C0000256,Customer 256,4,Pune,General Trade,Silver,2021-03-13T00:00:00
257,C0000257,Customer 257,5,Indore,Modern Trade,Bronze,2021-07-29T00:00:00
258,C0000258,Customer 258,5,Nagpur,E-Commerce,Bronze,2022-09-14T00:00:00
259,C0000259,Customer 259,2,Chennai,Modern Trade,Gold,2022-02-24T00:00:00
260,C0000260,Customer 260,3,Patna,E-Commerce,Silver,2023-07-11T00:00:00
261,C0000261,Customer 261,5,Nagpur,Modern Trade,Silver,2023-09-05T00:00:00
262,C0000262,Customer 262,3,Kolkata,Modern Trade,Silver,2021-01-21T00:00:00
263,C0000263,Customer 263,1,Gurgaon,Modern Trade,Silver,2022-11-16T00:00:00
264,C0000264,Customer 264,1,Delhi,Institutional,Silver,2024-04-30T00:00:00
265,C0000265,Customer 265,2,Hyderabad,Institutional,Bronze,2023-03-07T00:00:00
266,C0000266,Customer 266,5,Indore,General Trade,Bronze,2021-02-02T00:00:00
267,C0000267,Customer 267,3,Kolkata,Institutional,Bronze,2022-06-02T00:00:00
268,C0000268,Customer 268,1,Gurgaon,E-Commerce,Bronze,2021-05-31T00:00:00
269,C0000269,Customer 269,1,Delhi,Institutional,Gold,2024-11-14T00:00:00
270,C0000270,Customer 270,2,Chennai,Institutional,Bronze,2023-06-22T00:00:00
271,C0000271,Customer 271,5,Bhopal,Institutional,Bronze,2022-03-04T00:00:00
272,C0000272,Customer 272,2,Bengaluru,E-Commerce,Bronze,2023-08-07T00:00:00
273,C0000273,Customer 273,4,Ahmedabad,Institutional,Gold,2025-01-11T00:00:00
274,C0000274,Customer 274,5,Nagpur,Modern Trade,Bronze,2022-10-30T00:00:00
275,C0000275,Customer 275,4,Surat,E-Commerce,Silver,2021-08-09T00:00:00
276,C0000276,Customer 276,2,Bengaluru,General Trade,Gold,2025-01-21T00:00:00
277,C0000277,Customer 277,5,Bhopal,General Trade,Bronze,2022-11-10T00:00:00
278,C0000278,Customer 278,2,Chennai,E-Commerce,Bronze,2022-05-01T00:00:00
279,C0000279,Customer 279,1,Gurgaon,General Trade,Bronze,2025-01-07T00:00:00
280,C0000280,Customer 280,4,Surat,General Trade,Gold,2021-07-16T00:00:00
281,C0000281,Customer 281,2,Chennai,E-Commerce,Silver,2024-11-19T00:00:00
282,C0000282,Customer 282,2,Bengaluru,Institutional,Gold,2023-01-27T00:00:00
283,C0000283,Customer 283,1,Jaipur,E-Commerce,Bronze,2022-09-28T00:00:00
284,C0000284,Customer 284,3,Patna,E-Commerce,Bronze,2023-01-24T00:00:00
285,C0000285,Customer 285,2,Kochi,Institutional,Bronze,2022-01-24T00:00:00
286,C0000286,Customer 286,5,Indore,E-Commerce,Bronze,2024-07-13T00:00:00
287,C0000287,Customer 287,3,Guwahati,General Trade,Bronze,2022-02-24T00:00:00
288,C0000288,Customer 288,2,Kochi,Institutional,Bronze,2022-08-08T00:00:00
289,C0000289,Customer 289,3,Guwahati,Institutional,Silver,2025-01-04T00:00:00
290,C0000290,Customer 290,2,Chennai,E-Commerce,Gold,2022-03-29T00:00:00
291,C0000291,Customer 291,2,Bengaluru,Modern Trade,Silver,2022-08-11T00:00:00
292,C0000292,Customer 292,2,Bengaluru,E-Commerce,Silver,2023-10-18T00:00:00
293,C0000293,Customer 293,2,Hyderabad,E-Commerce,Silver,2023-10-10T00:00:00
294,C0000294,Customer 294,5,Nagpur,E-Commerce,Silver,2022-06-17T00:00:00
295,C0000295,Customer 295,2,Hyderabad,Modern Trade,Bronze,2023-12-12T00:00:00
296,C0000296,Customer 296,2,Kochi,E-Commerce,Bronze,2022-06-26T00:00:00
297,C0000297,Customer 297,3,Kolkata,General Trade,Silver,2023-05-08T00:00:00
298,C0000298,Customer 298,5,Bhopal,General Trade,Silver,2024-09-12T00:00:00
299,C0000299,Customer 299,2,Bengaluru,E-Commerce,Bronze,2021-02-28T00:00:00
300,C0000300,Customer 300,2,Hyderabad,E-Commerce,Silver,2021-07-05T00:00:00
301,C0000301,Customer 301,4,Surat,E-Commerce,Silver,2024-01-26T00:00:00
302,C0000302,Customer 302,4,Mumbai,Modern Trade,Bronze,2024-04-25T00:00:00
303,C0000303,Customer 303,5,Indore,General Trade,Bronze,2023-06-29T00:00:00
304,C0000304,Customer 304,3,Guwahati,Modern Trade,Bronze,2023-12-07T00:00:00
305,C0000305,Customer 305,1,Noida,Modern Trade,Silver,2022-05-28T00:00:00
306,C0000306,Customer 306,3,Kolkata,General Trade,Bronze,2023-02-18T00:00:00
307,C0000307,Customer 307,1,Noida,Institutional,Bronze,2021-09-24T00:00:00
308,C0000308,Customer 308,1,Jaipur,Modern Trade,Bronze,2021-01-22T00:00:00
309,C0000309,Customer 309,5,Bhopal,E-Commerce,Gold,2022-02-01T00:00:00
310,C0000310,Customer 310,5,Indore,Institutional,Silver,2021-06-12T00:00:00
311,C0000311,Customer 311,1,Delhi,Modern Trade,Gold,2022-02-15T00:00:00
312,C0000312,Customer 312,1,Jaipur,Modern Trade,Silver,2022-02-24T00:00:00
313,C0000313,Customer 313,3,Kolkata,Institutional,Silver,2022-07-22T00:00:00
314,C0000314,Customer 314,2,Kochi,Institutional,Silver,2022-05-24T00:00:00
315,C0000315,Customer 315,4,Surat,Modern Trade,Gold,2021-05-15T00:00:00
